regime,model,transformed_feature,importance,absolute_importance,importance_type
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_waveInjector_FWI,-1.4323994914638254,1.4323994914638254,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_waveInjector_NOVALUE,1.3119759706921936,1.3119759706921936,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_stromSchaltbar_CS1,1.2828581346526586,1.2828581346526586,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_steamApplication_N,-1.2560588075969314,1.2560588075969314,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_dataInterface_MR,-1.130670300902334,1.130670300902334,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_temperaturEingaenge_TT2,1.0963528561437834,1.0963528561437834,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_characteristic_TE,1.0963528561437834,1.0963528561437834,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_stromEingaenge_NOVALUE,-1.0291512125782876,1.0291512125782876,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_binaerDigitalOpenColl_MN_MN1,-1.022750097390257,1.022750097390257,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_binaerDigitalOpenColl_MN_NOVALUE,-1.0040257873791325,1.0040257873791325,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_temperaturEingaenge_TT1,-0.9921770444014674,0.9921770444014674,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_dataInterface_HS,0.9704015617004579,0.9704015617004579,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_characteristic_GP,-0.9303801203580548,0.9303801203580548,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_dataInterface_MT,0.8358346208666839,0.8358346208666839,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_stromEingaenge_IS1,0.8255242691497438,0.8255242691497438,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,mandatory_satisfied,0.6969144089006785,0.6969144089006785,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,mandatory_total,0.6969144089006688,0.6969144089006688,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_devCategory_G,0.6597849551905869,0.6597849551905869,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,preferred_total,0.6581759707000058,0.6581759707000058,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,preferred_satisfied,0.6581759707000058,0.6581759707000058,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,generation_method_ONE_CHARACTERISTIC,0.6316145570068963,0.6316145570068963,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_dynamicGasMaster_1,-0.6295723261646221,0.6295723261646221,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,evidence_level_VERY_STRONG,0.5385374104234167,0.5385374104234167,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_devCategory_S,-0.5250052824449359,0.5250052824449359,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_dynamicGasMaster_NOVALUE,0.5091488053929641,0.5091488053929641,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_steamApplication_H,-0.5020193711058047,0.5020193711058047,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_numberOfChannels,0.4869562626867108,0.4869562626867108,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,evidence_level_MODERATE,-0.4676297982265429,0.4676297982265429,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_customUserFluid_1,-0.45364096721450775,0.45364096721450775,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_devCategory_H,-0.43234629299545874,0.43234629299545874,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,generation_method_TWO_CHARACTERISTIC,-0.395654434865006,0.395654434865006,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_dev_advMeterVerification_1,-0.3561459768159479,0.3561459768159479,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_customUserFluid_NOVALUE,0.3332174464428434,0.3332174464428434,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,config_characteristic_WD,-0.32601298533729534,0.32601298533729534,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,evidence_level_STRONG,0.3146394752435616,0.3146394752435616,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,evidence_score,0.28985851751573277,0.28985851751573277,coefficient
PROVENANCE_AWARE,LOGISTIC_REGRESSION,evidence_level_OBSERVED,-0.26330649633006564,0.26330649633006564,coefficient
